communal_territory_id,progressive_id,alphanumeric_id,name,italian_name,other_name,is_province,numeric_id,numeric_2010_2016_id,numeric_2006_2009_id,numeric_1995_2005_id,cadastral_code
101,1,101001,Belvedere di Spinello,Belvedere di Spinello,,0,101001,101001,101001,101001,A772
101,2,101002,Caccuri,Caccuri,,0,101002,101002,101002,101002,B319
101,3,101003,Carfizzi,Carfizzi,,0,101003,101003,101003,101003,B771
101,4,101004,Casabona,Casabona,,0,101004,101004,101004,101004,B857
101,5,101005,Castelsilano,Castelsilano,,0,101005,101005,101005,101005,B968
101,6,101006,Cerenzia,Cerenzia,,0,101006,101006,101006,101006,C501
101,7,101007,Cirò,Cirò,,0,101007,101007,101007,101007,C725
101,8,101008,Cirò Marina,Cirò Marina,,0,101008,101008,101008,101008,C726
101,9,101009,Cotronei,Cotronei,,0,101009,101009,101009,101009,D123
101,10,101010,Crotone,Crotone,,1,101010,101010,101010,101010,D122
101,11,101011,Crucoli,Crucoli,,0,101011,101011,101011,101011,D189
101,12,101012,Cutro,Cutro,,0,101012,101012,101012,101012,D236
101,13,101013,Isola di Capo Rizzuto,Isola di Capo Rizzuto,,0,101013,101013,101013,101013,E339
101,14,101014,Melissa,Melissa,,0,101014,101014,101014,101014,F108
101,15,101015,Mesoraca,Mesoraca,,0,101015,101015,101015,101015,F157
101,16,101016,Pallagorio,Pallagorio,,0,101016,101016,101016,101016,G278
101,17,101017,Petilia Policastro,Petilia Policastro,,0,101017,101017,101017,101017,G508
101,18,101018,Roccabernarda,Roccabernarda,,0,101018,101018,101018,101018,H383
101,19,101019,Rocca di Neto,Rocca di Neto,,0,101019,101019,101019,101019,H403
101,20,101020,San Mauro Marchesato,San Mauro Marchesato,,0,101020,101020,101020,101020,I026
101,21,101021,San Nicola dell'Alto,San Nicola dell'Alto,,0,101021,101021,101021,101021,I057
101,22,101022,Santa Severina,Santa Severina,,0,101022,101022,101022,101022,I308
101,23,101023,Savelli,Savelli,,0,101023,101023,101023,101023,I468
101,24,101024,Scandale,Scandale,,0,101024,101024,101024,101024,I494
101,25,101025,Strongoli,Strongoli,,0,101025,101025,101025,101025,I982
101,26,101026,Umbriatico,Umbriatico,,0,101026,101026,101026,101026,L492
101,27,101027,Verzino,Verzino,,0,101027,101027,101027,101027,L802
102,1,102001,Acquaro,Acquaro,,0,102001,102001,102001,102001,A043
102,2,102002,Arena,Arena,,0,102002,102002,102002,102002,A386
102,3,102003,Briatico,Briatico,,0,102003,102003,102003,102003,B169
102,4,102004,Brognaturo,Brognaturo,,0,102004,102004,102004,102004,B197
102,5,102005,Capistrano,Capistrano,,0,102005,102005,102005,102005,B655
102,6,102006,Cessaniti,Cessaniti,,0,102006,102006,102006,102006,C581
102,7,102007,Dasà,Dasà,,0,102007,102007,102007,102007,D253
102,8,102008,Dinami,Dinami,,0,102008,102008,102008,102008,D303
102,9,102009,Drapia,Drapia,,0,102009,102009,102009,102009,D364
102,10,102010,Fabrizia,Fabrizia,,0,102010,102010,102010,102010,D453
102,11,102011,Filadelfia,Filadelfia,,0,102011,102011,102011,102011,D587
102,12,102012,Filandari,Filandari,,0,102012,102012,102012,102012,D589
102,13,102013,Filogaso,Filogaso,,0,102013,102013,102013,102013,D596
102,14,102014,Francavilla Angitola,Francavilla Angitola,,0,102014,102014,102014,102014,D762
102,15,102015,Francica,Francica,,0,102015,102015,102015,102015,D767
102,16,102016,Gerocarne,Gerocarne,,0,102016,102016,102016,102016,D988
102,17,102017,Ionadi,Ionadi,,0,102017,102017,102017,102017,E321
102,18,102018,Joppolo,Joppolo,,0,102018,102018,102018,102018,E389
102,19,102019,Limbadi,Limbadi,,0,102019,102019,102019,102019,E590
102,20,102020,Maierato,Maierato,,0,102020,102020,102020,102020,E836
102,21,102021,Mileto,Mileto,,0,102021,102021,102021,102021,F207
102,22,102022,Mongiana,Mongiana,,0,102022,102022,102022,102022,F364
102,23,102023,Monterosso Calabro,Monterosso Calabro,,0,102023,102023,102023,102023,F607
102,24,102024,Nardodipace,Nardodipace,,0,102024,102024,102024,102024,F843
102,25,102025,Nicotera,Nicotera,,0,102025,102025,102025,102025,F893
102,26,102026,Parghelia,Parghelia,,0,102026,102026,102026,102026,G335
102,27,102027,Pizzo,Pizzo,,0,102027,102027,102027,102027,G722
102,28,102028,Pizzoni,Pizzoni,,0,102028,102028,102028,102028,G728
102,29,102029,Polia,Polia,,0,102029,102029,102029,102029,G785
102,30,102030,Ricadi,Ricadi,,0,102030,102030,102030,102030,H271
102,31,102031,Rombiolo,Rombiolo,,0,102031,102031,102031,102031,H516
102,32,102032,San Calogero,San Calogero,,0,102032,102032,102032,102032,H785
